ground_truth,input,article_link,model_output,ai_confidence,is_correct
1,row of asterisks spices up otherwise ordinary e-mail,https://www.theonion.com/row-of-asterisks-spices-up-otherwise-ordinary-e-mail-1819571919,1,0.9397,1
1,"sadly, gift certificate to loews cinemas perfect gift for area man",https://local.theonion.com/sadly-gift-certificate-to-loews-cinemas-perfect-gift-f-1819572774,1,0.9546,1
1,"'the convergence is at hand,' announces sears ceo as employees report to company headquarters in white gowns",https://www.theonion.com/the-convergence-is-at-hand-announces-sears-ceo-as-em-1829692628,1,0.8247,1
0,"florida man killed after standing up for gay friends, witnesses say",https://www.huffingtonpost.com/entry/lake-worth-florida-shooting-gay_us_59895efee4b0d7937389bca4,0,0.8982,1
1,dog finds absolutely perfect place to shit,https://local.theonion.com/dog-finds-absolutely-perfect-place-to-shit-1819570520,1,0.9516,1
1,"'there are things that exist which are not good,' says obama in stunning rebuke of trump",https://politics.theonion.com/there-are-things-that-exist-which-are-not-good-says-1827665003,0,0.6219,0
1,burglar hiding in pistorius' bathroom figures now probably his best chance to escape,https://www.theonion.com/burglar-hiding-in-pistorius-bathroom-figures-now-probab-1819574588,1,0.9172,1
0,stolen moment of the week: brett davis and sally burtnick,https://www.huffingtonpost.com/entry/stolen-moment-of-the-week_80_b_6357126.html,0,0.9536,1
1,sephora makeup artist helping woman create the perfect pink eye,https://local.theonion.com/sephora-makeup-artist-helping-woman-create-the-perfect-1826258294,1,0.8835,1
0,4 ways the drug war harms national security,https://www.huffingtonpost.com/entry/4-reasons-lawmakers-shoul_b_6762056.html,0,0.9562,1
0,what's damaging about fat-shaming: the last acceptable form of bias,https://www.huffingtonpost.com/entry/fat-shaming_b_5842868.html,0,0.9603,1
1,cat seemed perfectly content right up until point he bolted out of room,https://local.theonion.com/cat-seemed-perfectly-content-right-up-until-point-he-bo-1819575397,1,0.9495,1
